p,m,sigma,rep,inhull,s_type,first_extinction
1,10,NA,85,NA,1,233.4402
1,10,NA,85,NA,2,233.4402
1,10,NA,86,NA,1,154.6644
1,10,NA,86,NA,2,154.6644
1,10,NA,87,NA,1,172.4952
1,10,NA,87,NA,2,172.4952
1,10,NA,88,NA,1,427.5622
1,10,NA,88,NA,2,427.5622
1,10,NA,89,NA,1,79.491
1,10,NA,89,NA,2,79.491
1,10,NA,90,NA,1,155.9344
1,10,NA,90,NA,2,155.9344
1,10,NA,91,NA,1,217.5726
1,10,NA,91,NA,2,217.5726
1,10,NA,92,NA,1,194.9506
1,10,NA,92,NA,2,194.9506
1,10,NA,93,NA,1,189.5682
1,10,NA,93,NA,2,189.5682
1,10,NA,94,NA,1,156.9182
1,10,NA,94,NA,2,156.9182
1,10,NA,95,NA,1,195.9296
1,10,NA,95,NA,2,195.9296
1,10,NA,96,NA,1,105.234
1,10,NA,96,NA,2,105.234
1,10,NA,97,NA,1,273.3628
1,10,NA,97,NA,2,273.3628
1,10,NA,98,NA,1,323.406
1,10,NA,98,NA,2,323.406
1,10,NA,99,NA,1,341.254
1,10,NA,99,NA,2,341.254
1,10,NA,100,NA,1,316.6692
1,10,NA,100,NA,2,316.6692
1,10,NA,101,NA,1,151.5674
1,10,NA,101,NA,2,151.5674
1,10,NA,102,NA,1,184.4302
1,10,NA,102,NA,2,184.4302
1,10,NA,103,NA,1,289.5776
1,10,NA,103,NA,2,289.5776
1,10,NA,104,NA,1,423.2314
1,10,NA,104,NA,2,423.2314
1,10,NA,105,NA,1,258.0686
1,10,NA,105,NA,2,258.0686
1,10,NA,106,NA,1,258.4264
1,10,NA,106,NA,2,258.4264
1,10,NA,107,NA,1,233.6772
1,10,NA,107,NA,2,233.6772
1,10,NA,108,NA,1,240.598
1,10,NA,108,NA,2,240.598
1,10,NA,109,NA,1,175.5772
1,10,NA,109,NA,2,175.5772
1,10,NA,110,NA,1,303.8822
1,10,NA,110,NA,2,303.8822
1,10,NA,111,NA,1,365.538
1,10,NA,111,NA,2,365.538
1,10,NA,112,NA,1,366.013
1,10,NA,112,NA,2,366.013
1,10,NA,113,NA,1,150.4962
1,10,NA,113,NA,2,150.4962
1,10,NA,114,NA,1,132.115
1,10,NA,114,NA,2,132.115
1,10,NA,115,NA,1,338.8416
1,10,NA,115,NA,2,338.8416
1,10,NA,116,NA,1,116.6828
1,10,NA,116,NA,2,116.6828
1,10,NA,117,NA,1,173.3182
1,10,NA,117,NA,2,173.3182
1,10,NA,118,NA,1,128.2598
1,10,NA,118,NA,2,128.2598
1,10,NA,119,NA,1,202.6606
1,10,NA,119,NA,2,202.6606
1,10,NA,120,NA,1,147.7108
1,10,NA,120,NA,2,147.7108
1,10,NA,121,NA,1,256.674
1,10,NA,121,NA,2,256.674
1,10,NA,122,NA,1,225.7912
1,10,NA,122,NA,2,225.7912
1,10,NA,123,NA,1,165.2754
1,10,NA,123,NA,2,165.2754
1,10,NA,124,NA,1,161.293
1,10,NA,124,NA,2,161.293
1,10,NA,125,NA,1,214.5498
1,10,NA,125,NA,2,214.5498
1,10,NA,126,NA,1,126.0648
1,10,NA,126,NA,2,126.0648
1,10,NA,127,NA,1,271.1632
1,10,NA,127,NA,2,271.1632
1,10,NA,128,NA,1,171.7856
1,10,NA,128,NA,2,171.7856
1,10,NA,129,NA,1,170.892
1,10,NA,129,NA,2,170.892
1,10,NA,130,NA,1,268.8006
1,10,NA,130,NA,2,268.8006
1,10,NA,131,NA,1,133.839
1,10,NA,131,NA,2,133.839
1,10,NA,132,NA,1,178.5146
1,10,NA,132,NA,2,178.5146
1,10,NA,133,NA,1,134.066
1,10,NA,133,NA,2,134.066
1,10,NA,134,NA,1,180.1628
1,10,NA,134,NA,2,180.1628
1,10,NA,135,NA,1,134.4664
1,10,NA,135,NA,2,134.4664
1,10,NA,136,NA,1,281.233
1,10,NA,136,NA,2,281.233
1,10,NA,137,NA,1,135.7314
1,10,NA,137,NA,2,135.7314
1,10,NA,138,NA,1,131.0788
1,10,NA,138,NA,2,131.0788
